Risk_Description,Impact,Likelihood
Misconfigured network firewall rules inadvertently exposing customer data to the internet,4,3
"Malware infection of endpoint devices from phishing emails, enabling cybercriminals to steal credentials and sensitive data",3,4
"Accidental deletion of critical databases by administrators, requiring restoration from recent backups",4,2
"DDoS attack saturating internet bandwidth, preventing access to cloud services and causing widespread outages",5,3
Improper data encryption allowing unauthorized access to financial records and personal information,4,5
"Mass hardware failure from manufacturing defects in critical servers, interrupting business operations",5,1
Data loss from disk failures on SAN storage array without adequate redundancies and backups,4,2
Insecure coding vulnerabilities in customer-facing web applications enabling remote code execution,3,4
Insufficient identity and access controls allowing unauthorized changes to production systems,3,3
Unpatched operating systems and software providing an attack vector for ransomware,4,4
Failure to segregate and monitor privileged access leading to undetected cyberattacks,5,2
Lack of capacity planning and overutilization degrading performance of critical systems,3,4
Improper disposal of end-of-life equipment exposing confidential data,2,3
Network misconfiguration interrupting connectivity between application tiers,4,2
Undocumented architecture and lack of diagrams increasing troubleshooting complexity,2,4
Untested disaster recovery plans unable to restore operations in an outage,5,1
Uncontrolled changes to network and firewalls circumventing security controls,3,3
Lack of encryption for data in transit enabling man-in-the-middle attacks,4,2
Improper access revocation for terminated employees,3,4
Outdated and vulnerable software increasing susceptibility to exploits,4,3
Inadequate monitoring of user access and changes leading to undetected threats,3,4
Insufficient capacity planning causing performance issues during peak usage,3,3
Lack of redundancy for internet connectivity interrupting external access,4,2
Untrained end users inadvertently exposing credentials or sensitive data,2,4
Improper management of encryption keys enabling unauthorized decryption,4,2
Lack of regular vulnerability testing and penetration testing,3,3
Outdated business continuity plans with inadequate procedures and documentation,3,2
Lack of asset inventory losing track of devices storing sensitive data,2,3
Uncontrolled BYOD devices introducing vulnerabilities onto the corporate network,3,4
Weak password policies allowing easy brute force attacks,3,5
Improper disposal of retired hard drives containing confidential data,3,2
Lack of security incident response plans delaying containment of breaches,4,3
Inadequate OS patching cadence leaving vulnerabilities unaddressed,4,4
Lack of physical security controls enabling theft of equipment,3,2
Improper backup procedures failing to capture critical data,4,1
Unauthorized cloud service usage leading to data leakage,2,4
Lack of logging and audit trail obscuring malicious activity,3,4
Improper configuration management allowing unauthorized changes,3,3
Single points of failure within critical infrastructure,4,2
Inadequate testing and QA introducing software defects and vulnerabilities,3,3
Unauthorized access from weak WiFi encryption and access controls,2,4
Unrestricted USB devices spreading malware within the environment,3,4
Social engineering attacks tricking users into disclosing credentials,2,5
Improper vendor management granting excessive network access,3,3
"Prolonged power outage at primary data center causes all systems and infrastructure to go offline, requiring failover to secondary site and resulting in multi-hour downtime",5,2
"Accidental deletion of critical virtual machine by admin, requiring restoration from backups and causing application downtime",4,3
"Distributed denial-of-service (DDoS) attack overwhelms network infrastructure, causing connectivity issues and service disruptions",5,4
Malicious insider with elevated network privileges breaches confidential data by improperly accessing sensitive systems,5,2
"Massive log data growth exceeds storage capacity, causing critical monitoring and security tools to fail",3,4
"Unpatched vulnerability in customer-facing web application is exploited, allowing attackers to steal customer data",5,3
"Failure of core network switch causes subnet outage, disrupting access to applications and resources",4,2
Improper firewall ruleset allows external attacker to scan and enumerate internal systems,2,3
Hacked third-party vendor credentials are used to infiltrate the network perimeter via VPN,4,2
"Ransomware infiltrates file servers through phishing attack, encrypting critical data stores",5,3
Expired TLS certificate causes customer-facing websites and services to go offline,3,4
"Natural disaster destroys primary data center, requiring full failover to secondary site",5,1
Weak administrative passwords exploited by attacker to gain access to domain admin accounts,5,4
Unpatched vulnerability in server operating system allows remote code execution and system compromise,4,3
Misconfigured network ACL allows unauthorized traffic between security zones,3,4
"Failing SAN causes disk volumes to go offline, disrupting dependent applications",5,2
"Compromised IoT devices form botnet inside network, sending spam and scanning internal systems",3,2
"Excessive virtual machine density oversubscribes host resources, causing performance issues",2,4
Storage array misconfiguration causes data corruption within critical databases,5,2
Network capacity exhaustion degrades performance of business-critical applications,4,3
Expiration of code signing certificate causes software distribution and updates to fail,2,4
"Backup failures due to media errors go undetected, resulting in missing restore points",4,1
Improper input validation in web application leads to cross-site scripting (XSS) vulnerabilities,3,4
Shared account credentials allow former employee to retain access after termination,4,3
Failed OS patch causes kernel panic and host reboot during peak traffic,3,2
Malware infection through phishing spreads throughout network shares and endpoints,4,3
"Excessive virtual machine cloning depletes datastore space, causing outages",3,4
Improper SSL configuration exposes sensitive data transmitted over the network,4,3
"Failed air conditioning system causes overheating in server room, leading to outages",4,2
Natural disaster destroys network connectivity to primary data center with no failover,5,1
Unauthorized internal access to databases containing sensitive customer information,5,3
Compromised API keys allow attackers to extract large amounts of customer data,4,2
Buffer overflow vulnerability in network service exploited for remote code execution,4,3
Outdated server OS no longer receives critical security patches from vendor,3,4
Failure to encrypt laptop leads to breach of customer data if device is lost/stolen,4,3
Inadequate OS resource allocation causes poor performance and frequent crashes,2,4
Compromised employee email account used to distribute malware throughout the organization,3,2
Improper firewall rule allows SQL injection attack on customer portal web server,4,3
Hacked vendor credentials used to spread malware inside network from vendor-managed systems,5,1
Improper access controls on cloud storage lead to unauthorized access of confidential data,4,3
"Extended cloud service outage from network connectivity failure, causing inability to access critical systems and data",5,2
"Cryptolocker ransomware infection spreads through network shares, encrypting essential files across multiple servers",4,3
"Accidental deletion of production database by junior admin without proper backups, causing permanent data loss",5,1
"Data center cooling system failure from refrigerant leaks, causing overheating and emergency shutdown of critical servers",4,2
Malware extracted from infected email attachment executes privilege escalation and spreads laterally,3,4
"DDoS attack saturates internet bandwidth, blocking external access to public-facing applications",3,3
Improper firewall rule allows unauthorized access to administrative interfaces,2,4
"Weak SSH keys exploited to gain root access on critical servers, allowing data theft and manipulation",5,2
"Unsupported operating system stops receiving security patches, increasing vulnerability to known exploits",4,3
"Flood damages data center facility, destroying on-premise equipment and offline backups",5,1
"Improper data validation allows SQL injection attack, exposing sensitive customer information",4,3
"Accidental misconfiguration exposes internal services to public internet, allowing external attacks",3,4
Hard drive failure in RAID array without hot spare causes outage during rebuild,2,3
Failure to renew trusted TLS certificate blocks access to public websites and web applications,3,2
"Security researcher publishes exploit for unpatched vulnerability, increasing risk of mass attacks",4,4
"System administrator account compromised through password guessing, allowing malicious configuration changes",5,2
"Power fluctuations cause cluster server to split brain, corrupting shared storage",3,3
Inability to scale cloud resources up/down causes poor performance during traffic spikes,2,4
"Unauthorized WiFi access point connects to corporate network, bypassing security controls",3,3
Web application input validation failure allows remote code execution via user uploads,5,2
"Natural disaster destroys primary data center facility, forcing failover to secondary site",5,1
"Improper access controls allow developers unnecessary production access, increasing insider risk",2,4
Failure to encrypt laptop leads to data breach after device theft,4,3
Malicious insider sells customer data accessed through privileged account,5,1
Untested configuration change causes widespread application outage,4,2
Compromised third-party vendor account used to pivot into internal systems,3,3
Weak audit controls prevent detection of unauthorized activity,2,4
Improper key management exposes encrypted data after administrator turnover,3,2
Outdated protocol allows interception of cleartext transmissions,4,3
Legacy system interdependency causes cascading failures during maintenance,3,2
Lack of compartmentalization allows single vulnerability to take down multiple applications,4,3
Insufficient log retention prevents complete forensic analysis after incident,2,3
Inadequate BC/DR planning causes excessive downtime after outage,4,2
"Uncontrolled personal devices connect to network, bypassing security controls",3,3
Failure to patch published exploits quickly allows internet scanning worms to propagate,4,4
Improper separation of duties allows employee to embezzle funds undetected,5,1
Compromised vendor credentials used to spread malware throughout the supply chain,4,2
Improper asset inventory management leads to unsupported hardware past end-of-life,2,3
Lack of employee security training leads to increased social engineering risk,3,4
Excessive retention of stale data increases risk of unauthorized exposure,2,2
Failure to disable ex-employee accounts allows continued access after termination,3,3
"Extended power outage at primary data center causing all systems and infrastructure to go offline, leading to prolonged downtime and inability to provide services",5,4
"Misconfiguration of network firewall rules inadvertently opening access to critical servers from the public internet, increasing vulnerability to cyber attacks",3,2
Massive increase in web traffic overwhelming capacity of front-end servers and causing denial of service outages,4,3
Failure of the HVAC system in the server room overheating hardware past safe operating limits and causing component failures,5,2
"Malware infection deleting key system files on domain controllers and corrupting the Active Directory database, disrupting authentication",5,3
"Unencrypted backup tapes lost in transit to offsite facility, exposing terabytes of sensitive customer data",5,1
Inadequate capacity planning leading to undersized infrastructure unable to handle growing data volumes and workload demands,4,4
Expiration of SSL certificates on customer-facing web services blocking access and disrupting business,3,3
"Cyber attack exploiting known vulnerabilities in outdated operating systems running on servers, enabling system compromise",4,4
Improper sanitization of retired hard drives allowing confidential data to fall into unauthorized hands,4,2
Failure of the redundant power supply in a critical application server cluster causing unexpected downtime,4,3
Natural disaster destroying the data center facility and rendering all systems inoperable,5,1
Insufficient security hardening of cloud infrastructure leaving weaknesses exploitable by adversaries,3,3
"Compromise of a third-party vendor's network providing access to credentials used internally, enabling lateral movement",4,2
Ransomware infiltration via phishing email encrypting essential files and databases throughout the environment,5,3
Lack of encryption on mobile devices leading to data breach if devices are lost or stolen,3,4
Outdated identity and access controls allowing accumulation of excessive user privileges over time,3,4
Lack of visibility into network activity preventing detection of abnormal behavior indicative of a security breach,3,3
Improper data validation enabling SQL injection attacks on public web applications to extract or corrupt information,4,3
Buffer overflow vulnerability in custom application code enabling remote code execution and system compromise,4,2
Failure to patch known critical OS vulnerabilities providing an attack vector for worms or ransomware,4,4
Excessive retention of log data overloading storage capacity and impacting performance,2,3
Unchecked growth in user or application data exhausting available SAN capacity and crashing production systems,4,3
Cascading failures from an initial fault bringing down multiple interconnected systems simultaneously,5,2
Improper backup configuration omitting critical data from scheduled backups leading to irrecoverable data loss,4,3
Leaked internal credentials providing access to source code repositories containing intellectual property,3,2
Hacked IoT devices forming an internal botnet sending excessive traffic internally and disrupting operations,3,2
Loss of internet connectivity at the data center isolating internal systems from users and cloud services,4,3
Storage array controller failure during peak traffic causing database timeouts and reporting failures,4,4
Mass staff resignations losing expertise and leaving knowledge gaps around critical systems,2,4
"Failure to keep systems, languages, and frameworks up-to-date with supported versions",3,4
Supply chain compromise backdooring software or hardware components before installation,4,2
Lack of load balancing between application servers overloading some nodes and crashing others,4,3
Race condition bug in proprietary code enabling denial of service and data corruption,3,2
Memory leak in core network services eventually crashing critical systems after prolonged uptime,4,3
Unrestricted lateral movement between trusted network zones enabling adversary to pivot between systems,4,3
Improper segmentation placing payment systems in the same zone as general IT infrastructure,2,3
Failure to detect rogue wireless access points connected internally enabling a man-in-the-middle attack,3,2
Weak certificates and cipher suites enabling compromise of supposedly encrypted connections,3,3
"Extended power outage at primary data center causes all systems and infrastructure to go offline, requiring failover to secondary site and resulting in multi-hour downtime",5,2
"Accidental deletion of critical virtual machine by admin, requiring restore from backups and causing disruption to business operations",4,3
Security vulnerability in web server allows attackers to gain access and install malware for data exfiltration,5,4
Failure of SAN storage array leads to unavailability of critical business data and applications,5,3
Misconfigured network firewall rules expose internal systems and data to the public internet,4,5
Hacker exploits known vulnerability to gain access to email server and steal sensitive communications,5,4
"Natural disaster destroys primary data center, requiring full failover to secondary site with potential data loss",5,1
"Malware infection spreads quickly across network before being detected, encrypting files and impacting operations",4,3
Improper access controls on cloud storage lead to mass data exposure of sensitive documents,4,4
"Unpatched operating systems and software on servers are compromised for crypto mining, slowing business systems",3,4
"Backup power systems fail during an outage, leading to extended downtime and inability to recover operations",4,2
"Accidental misconfiguration of DNS and routing sends traffic to invalid destinations, disrupting access to applications",3,3
Failure of air conditioning system in server room causes overheating and equipment shutdown,4,2
Distributed denial-of-service (DDoS) attack overwhelms network and takes critical web applications offline,5,2
"Insider threat results in deletion of key databases and data sets, interrupting operations",4,1
"Weak encryption algorithms used for sensitive data are cracked, exposing customer information",5,3
Improper hardening and security configurations on servers allow malware installation,4,4
Unauthorized access through stolen credentials leads to tampering with business data,3,2
"Network capacity is overwhelmed due to bandwidth-intensive applications, impairing performance",3,4
Cloud provider outage causes unavailability of critical SaaS applications and data,4,2
"Uncontrolled growth of logs and data fills up storage, impacting performance and crashing systems",2,5
Integration errors between interconnected systems cause transaction failures and data corruption,3,3
Improper change control results in network outage during upgrade of core routing infrastructure,4,3
"Business-critical application patched without proper testing, causing malfunctions and crashes",3,4
Lack of encryption on laptops leads to massive data exposure after device theft,5,2
Cyber attack through supply chain results in infection of critical servers and data exfiltration,5,1
Failure to patch known operating system vulnerabilities allows ransomware infection across network,4,4
Insufficient capacity planning leads to overloaded core systems and widespread performance issues,3,5
Unencrypted sensitive data stored in cloud is accessed by rogue employee for malicious purposes,4,3
"Failure to renew SSL certificates causes encrypted traffic inspection failures, disrupting access",3,2
Improper access controls on administrative interfaces enables wide-ranging manipulation of systems,4,2
"Database server runs out of storage, causing application failures and data corruption",4,3
Network penetration testing reveals critical infrastructure is accessible over the public internet,5,4
"Business-critical mobile app malfunctions after OS update, severely impacting operations",4,3
Compromised vendor credentials used to gain access and implant backdoors into IT systems,5,2
"Server hardware failure causes critical systems to go offline during peak traffic, disrupting operations",4,3
"Phishing attack tricks employees into downloading malware, leading to data exfiltration",5,4
Lack of redundancy for critical infrastructure components causes extended downtime during failure,4,3
Unrestricted outbound internet access allows malware to communicate with command and control servers,3,4
Improper separation of duties enables privileged user to make unauthorized modifications across systems,4,2
"Excessive retention of log data fills up storage, impacting performance and availability of systems",2,5
Weak passwords used across infrastructure allows attackers easy access for lateral movement,4,5
Failure to encrypt laptop leads to sensitive data exposure after device theft at airport,5,1
"Cyber criminals breach public cloud bucket containing sensitive documents, stealing IP and customer data",5,2
"Expired TLS certificates prevent access to public-facing web applications, disrupting business",4,3
Prolonged power outage at primary data center causes extended downtime and inability to failover critical systems to DR site,5,4
Targeted ransomware attack encrypts mission critical file shares across multiple departments,5,3
Failure of core network switch stack causes widespread connectivity issues and inability to access business systems,4,2
Accidental deletion of production database by junior admin during maintenance window causes data loss,4,1
Improper firewall rule change exposes customer data interface to the public internet,4,2
Malicious insider with elevated privileges deletes log files to cover unauthorized actions,3,2
Hacker exploits unpatched vulnerability in customer portal to extract user credentials and data,5,3
Improper capacity planning leads to performance issues during peak usage times,3,4
Network misconfiguration during core router firmware upgrade causes routing loop and takes down corporate WAN,4,2
Expired TLS certificate on customer payment gateway blocks transactions and revenue,4,1
Targeted malware attack against Active Directory compromises admin accounts across the domain,5,2
Failure of SAN storage array controller halts all virtual machine operations,5,1
Lack of offsite backups means ransomware attack leads to permanent data loss,5,1
Hacker exploits vulnerable web application to launch SQL injection attack and steal customer data,4,3
Improper access controls allow developer access to production databases,3,4
Failure to patch operating systems and software leads to exploit of critical vulnerability,4,3
Overflow of log storage partitions causes critical monitoring systems to crash,3,2
Accidental misconfiguration of network ACL blocks all external web traffic,4,1
Improper data validation in customer portal allows script injection attacks,3,2
Outdated identity provider software allows bypass of MFA controls,4,2
Lack of encryption on laptops leads to breach of sensitive data if devices are lost/stolen,3,4
DNS outage caused by DDoS attack blocks access to corporate websites and cloud apps,4,2
Unexpected failover between data centers due to fiber cut causes extended downtime,4,1
Failure to renew domain names leads to unavailability of customer-facing web properties,3,1
Hacker exploits use of default passwords on IoT devices to pivot into core network,4,2
Outage of core identity provider locks all users out of critical SaaS applications,5,1
Improper disposal of end of life hard drives results in data breach,4,1
Lack of security patching cadence leads to exploit of services running on internet-facing servers,4,3
Junior admin accidentally terminates production virtual machine instances,4,2
Power fluctuations cause file corruption on SAN storage array,3,1
Insufficient testing before change rollout causes widespread business disruption,4,3
Compromise of code repository allows injection of malicious code into customer-facing applications,5,2
Clickjacking attack tricks employees into providing credentials to fake login page,3,4
Outdated load balancers lack capacity for peak traffic leading to widespread downtime,4,3
Lack of monitoring and alerting leads to late detection of performance issues,2,4
Compromised IoT devices launch DDoS attack that saturates internet pipe,4,2
Improper access controls on cloud storage bucket exposes sensitive documents,4,1
Failure to encrypt removable media leads to loss of stolen backup tapes containing customer data,4,2
Outdated identity federation certificates block authentication to SaaS applications,3,1
Compromise of code signing certificate leads to deployment of malware disguised as vendor software,5,1
Lack of automated security updates leaves vulnerabilities unpatched across server fleet,3,4
Improper validation of database inputs allows SQL injection attack,4,2
Insufficient log storage and retention impact ability to investigate security incidents,2,3
"Inability to access customer data due to unplanned outage of core database servers, requiring failover to redundant systems and potentially lengthy downtime",5,4
"Loss of internet connectivity at primary data center from fiber optic cable damage, requiring immediate failover to secondary site",4,2
"Denial of service attack targeted at customer-facing web servers, overloading capacity and causing multi-hour outage",3,3
"Massive growth in storage requirements exceeding capacity planning estimates, requiring emergency procurement and expansion",2,4
Breach of network perimeter through exploitation of unpatched vulnerabilities in internet-facing systems,4,3
"Prolonged power failure at primary data center from electrical fault, requiring full failover to alternate site",5,2
"Accidental deletion of critical virtual machine data by administrator, requiring restoration from backups",3,1
Security breach of public cloud storage containing customer data due to misconfigured access controls,5,2
Loss of end-user access to business applications from failure of core network switch devices,4,3
"Uncontrolled growth of log data exhausting centralized storage capacity, impacting system performance",2,3
Malware or ransomware infection taking down critical file servers and backup systems,5,2
Improper firewall rule change blocking customer access to public-facing web applications,4,1
Accidental destruction of archived email server data from administrator error during maintenance,2,1
Prolonged voice system outage from failure of call processing servers and exhaustion of redundancies,3,2
Improper access controls allowing unauthorized access to confidential data repositories,4,2
Natural disaster destroying primary data center with insufficient failover capacity,5,1
"Expiration of TLS certificates on customer-facing web services, disrupting secure access",2,3
"Mass software vulnerability exploitation of unpatched systems, enabling wide network compromise",4,3
"Cryptocurrency mining malware infection of critical servers, overloading capacity",3,2
"Loss of cloud service availability from cloud provider outage, lacking redundancy",4,2
"Sanitation of production database by developer, deleting customer records",5,1
Inability to restore from backups due to undetected failure of backup system,5,1
Loss of customer data from hardware failure of SAN storage system without redundancy,5,2
"Network saturation from bandwidth-intensive malware activity, disrupting operations",3,3
Loss of physical access to data center from failure of electronic access control systems,2,2
Loss of internet connectivity due to failure of primary and secondary ISP links,3,3
Loss of core network capacity due to misconfiguration of aggregation switches during change,4,2
Inability to access public cloud services after accidental suspension of account,3,1
Corruption of virtual machine images from underlying storage system faults,4,3
Loss of wireless network access from failure of centralized WLAN controllers,2,3
Undetected hardware failure in HA firewall cluster leading to outage during failover,4,1
Loss of administrative access to systems from expiration of privileged credentials,2,2
Outage of core databases from resource exhaustion during report generation,3,3
Loss of redundancy in power systems from failure to maintain generator,2,1
Loss of customer data from cryptolocker infection despite air-gapped backups,5,1
Outage of customer portal from resource exhaustion during load testing,2,2
Loss of access to source code repositories from ransomware encrypting developer systems,3,2
Inability to monitor systems from outage of centralized log collection,2,3
Failure of data replication between primary and DR site from latency,4,2
Loss of customer data from improper sanitation of decommissioned storage systems,5,1
Outage of telephony systems from loss of network connectivity between sites,3,2
Inability to restore files from backup due to undetected corruption,4,1
Prolonged outage of core databases from exhaustion of IOPS limits on storage,4,3
Loss of access to public cloud services due to compromised credentials,3,2
"Extended power outage at primary data center causing all systems and infrastructure to go offline, leading to prolonged downtime and inability to serve customers",5,4
"Misconfigured firewall rules inadvertently opening access to critical servers from the public internet, increasing vulnerability to cyber attacks",4,3
"Accidental deletion of production database by admin without proper backups, causing permanent data loss and disruption to business operations",5,2
"Crypto-ransomware infiltration of internal network spreading to file shares and servers, encrypting critical data and systems",5,4
"Improper patch management of internet-facing applications leading to exploit of known vulnerabilities, enabling data theft and service disruption",4,3
"Failure of environmental cooling system in server room, leading to overheating and unplanned outage of critical IT infrastructure",3,2
Natural disaster destroying primary data center facility and rendering all systems unavailable until failover completes,5,1
"Malicious insider with elevated network privileges destroying key configuration and data files, interrupting operations",4,1
Massive DDoS attack saturating internet bandwidth and causing multi-day outage for customer-facing applications and services,4,2
"Accidental misconfiguration of core network device during change window, causing widespread connectivity issues",3,3
Compromised vendor credentials used to infiltrate network and install backdoors for persistent access to sensitive systems,5,2
Improper data encryption settings leading to unprotected sensitive customer information that is accessed and exfiltrated,5,3
"Failure of backup power generators during prolonged utility outage, leading to unplanned shutdown of data center resources",4,2
"Expiration of essential security certificates on public-facing systems, causing outages for customers and partners",3,3
Unpatched firmware vulnerabilities in network switches being exploited to disrupt connectivity and intercept traffic,4,4
Improper access controls enabling unauthorized changes to production systems and data loss,4,3
Lack of multi-factor authentication allowing compromised user credentials to access critical systems and data,5,3
Hacked vendor credential used to distribute malware throughout the environment via trusted access,4,2
Targeted ransomware attack on inadequately segmented network impacting critical services,5,3
Failure to encrypt laptops leads to breach of sensitive customer data if devices are lost or stolen,4,4
Weak password policies allowing brute force attacks to take over user accounts and gain network foothold,3,4
Improper input validation enabling SQL injection attacks that exfiltrate data from databases,4,3
Outdated operating systems no longer receiving security patches becoming vulnerable over time,3,4
Lack of logging and monitoring enabling malicious activity to go undetected over lengthy periods,3,3
Improper firewall rules allowing unauthorized outbound connections for command and control,4,2
Compromised IoT devices providing backdoor network access circumventing perimeter defenses,3,3
Shared local admin credentials enabling wide-spread privilege escalation across systems and accounts,4,4
Improper cloud storage configuration exposing sensitive documents to the public internet,4,2
Phishing attack tricks users into installing malware and disclosing credentials,3,4
Man-in-the-middle attack intercepts and alters data transmitted between internal servers,4,2
Outdated VPN technology allowing brute force attacks and unauthorized network access,3,3
Uncontrolled BYOD devices introducing malware inside the corporate network perimeter,3,4
Inadequate DR testing and validation resulting in failure during actual DR scenario,4,2
Lapse in SSL certificate renewal interrupting secure access to public-facing applications,2,3
Improper access revocation enabling former employees and vendors to retain network access,3,2
"Overloaded infrastructure unable to scale, causing frequent outages under high traffic loads",3,4
Unrestricted USB devices spreading malware between endpoints within the organization,2,4
"Extended power outage at primary data center from severe weather, causing all systems and services to go offline until power restored",5,2
"Accidental deletion of critical database by junior admin without proper permissions and inadequate backups, causing permanent data loss",5,1
"Security vulnerability in web application code allows hackers to extract customer data, leading to data breach",4,3
"Storage area network hardware failure corrupts virtual machine files, requiring extensive repairs and potential data loss",4,2
"Outdated operating systems on servers are unpatched and vulnerable to ransomware attack, leading to encrypted files and disruption",4,3
"Improper firewall rules allow malware onto internal systems, spreading quickly and impacting operations",4,4
"DDoS attack overwhelms network capacity, causing website and applications to be unavailable to customers",3,4
"Key logging malware installed via phishing email captures admin credentials, allowing attacker network access",4,3
Accidental misconfiguration of DNS servers causes website and services to be unreachable for extended time,3,2
"Unencrypted laptop containing customer data is lost/stolen, exposing sensitive information",3,1
"Improper data validation allows SQL injection attack, resulting in data theft and corruption",4,2
"Natural disaster destroys primary data center with no offsite replication, causing permanent data loss",5,1
"Massive botnet overwhelms bandwidth capacity, slowing network communications to a crawl",3,3
Inadequate OS patch management allows worm malware propagation across servers,4,4
Failure of HVAC systems during heat wave causes servers to overheat and shutdown,3,2
"Misconfigured firewall accidentally opens RDP to internet, enabling attackers access to domain",5,1
Spear phishing convinces payroll staff to wire funds to criminal's account,2,2
Weak passwords exploited via brute force attack to gain admin access to systems,4,4
Exposed S3 buckets with unrestricted access allows hackers to steal data,3,3
Improper access controls enable insider threat leading to IP theft,2,2
Unsupported operating systems and software poses vulnerability to unpatched exploits,3,4
Lack of multifactor authentication allows account takeover via stolen credentials,3,3
"Unencrypted mobile devices are lost/stolen, exposing corporate emails and files",2,2
Weak encryption algorithms used for sensitive data are brute forced,4,1
Improper certificate management causes website outages and blocks customer access,3,2
Configuration drift across firewalls causes rule conflicts and opens vulnerabilities,4,3
Failure to patch known log4j exploit allows remote code execution on servers,5,4
Shared account credentials enable former employee access to systems,3,2
Inadequate logging and monitoring prevents early threat detection,3,4
Improper cloud permissions enable data exfiltration and resource manipulation,4,2
Lack of employee security training leads to increased phishing susceptibility,3,4
Natural disaster destroys offsite backups before new ones completed,4,1
Server rack fire suppression failure leads to prolonged outage during repairs,2,1
Cyber attack takes down payment systems during peak shopping period,3,2
"Hacker accesses plans for proprietary products, enabling competitor advantage",1,2
Ransomware attack cripples operations by encrypting critical data,5,3
Data exfiltration goes undetected for months due to lack of monitoring,4,1
Supply chain compromise injects malware into software updates and patches,5,2
Insufficient capacity planning causes performance issues under high load,2,3
Unrestricted USB devices spread malware between air-gapped systems,3,2
Extended network outage from flooded server room disabling all systems and preventing access to critical data,5,2
Accidental deletion of financial database by junior DBA requiring restoration from 3-day old backups,4,3
"Cryptolocker malware infection encrypting user files across the network share drives, requiring ransom payment for decryption",5,2
"Improper firewall ruleset allowing external attackers access to internal systems, enabling data theft and manipulation",4,3
Stolen laptop containing unencrypted customer data used for identity theft and fraudulent transactions,5,1
"Hacked vendor account obtaining elevated privileges to core systems, allowing backdoor access and data exfiltration",3,4
DOS attack overwhelming web servers and preventing customer access to online services,3,3
Hardware failure of SAN storage device causing unavailability of virtual machine data,4,2
"Misconfigured network ACL accidentally opening SMB ports publicly, enabling ransomware propagation",5,1
Faulty patch deployment crashing production ERP system and interrupting order processing,4,2
Compromised server hosting customer database allowing data extraction for criminal purposes,5,1
Improper data validation enabling SQL injection attack that modifies and deletes records,4,2
Outdated OS and software containing unpatched vulnerabilities providing entry point for attackers,3,4
Insufficient logging and auditing masking suspicious access attempts and security events,2,4
Weak passwords across admin accounts enabling unauthorized access and elevated privileges,4,3
Unencrypted cloud storage misconfiguration publicly exposing sensitive documents,5,1
Spear phishing campaign infecting user systems with info-stealing malware,3,3
Overloaded core switch failing and causing network-wide outage interrupting operations,4,2
Unauthorized WiFi access point bridging corporate and guest networks,3,3
Improper access controls allowing developers unnecessary database permissions,2,4
Compromised vendor credentials used to distribute malware across the network,4,2
Outdated antivirus definitions unable to detect new malware variants threatening endpoints,3,3
Lack of multifactor authentication enabling compromised credentials to access systems,4,3
Unpatched firmware vulnerabilities in network devices enabling man-in-the-middle attacks,3,2
Natural disaster destroying primary data center with no failover available,5,1
Insufficient capacity planning leading to performance issues degrading user experience,2,4
Inadequate backup strategy preventing recovery of corrupted databases,4,2
Expired TLS certificates preventing secure external web connections to services,3,3
Targeted DDoS attack saturating Internet bandwidth and disrupting online operations,4,2
Improper server decommission allowing residual data to be recovered,2,3
Disabled screensaver timeouts permitting unauthorized physical access to devices,1,4
Lack of security awareness training increasing phishing susceptibility,3,4
Unsafe BYOD policies allowing unmanaged devices storing sensitive data,2,3
Legacy systems preventing deployment of modern security controls,3,4
Unrestricted USB devices spreading malware between air-gapped systems,2,2
Shared local admin accounts preventing accountability of actions taken,3,4
Improper cloud configuration exposing personal data of customers,4,2
Unencrypted laptop backup drives lost/stolen exposing employee records,3,2
Excessive user permissions enabling unauthorized high-risk activities,2,3
Weak mobile app coding practices leading to exploitation and data theft,3,2
Improper shutdown of cloud infrastructure destroying data without recovery,5,1
"Extended power outage at primary data center causes all systems and infrastructure to go offline, leading to prolonged downtime and inability to serve customers",5,4
"Accidental deletion of critical database by administrator, requiring restoration from backups and causing temporary unavailability",3,2
"Massive DDoS attack overwhelms network capacity, making applications and services unreachable for extended time",4,3
Storage area network failure due to firmware bug causes data corruption and inaccessibility issues across multiple systems,4,2
"Improper firewall configuration exposes vulnerabilities and allows malware to propagate across network, infecting endpoints",4,3
Misconfigured network access controls provide unauthorized remote access into sensitive systems,5,2
"Web application vulnerable to SQL injection due to coding errors, enabling data theft and manipulation",4,3
Privilege escalation exploit gives attacker full control over critical servers,5,1
Ransomware infiltrates network through phishing email and encrypts files on shared drives before spreading,5,3
"Cloud provider outage causes hosted infrastructure and services to go dark, impairing operations",4,2
"DNS server misconfiguration routes traffic to malicious sites, enabling phishing and malware installation",3,4
Improper data encryption allows sensitive customer information to be accessed if stolen,4,2
Failure of HVAC system in server room causes overheating and hardware malfunctions,3,1
Network switch firmware vulnerability enables takeover and traffic manipulation,4,2
Compromised vendor credentials used to gain access to managed systems and services,4,1
"System patch management and configuration monitoring lacking, leading to outdated and vulnerable systems",3,5
Improper access revocation for ex-employees leaves accounts active after termination,2,3
Uncontrolled BYOD devices introduce malware and security holes into corporate network,3,4
Weak WiFi encryption allows unauthorized access to internal network and spoofing attacks,2,3
Improper hard drive sanitization when decommissioning systems exposes confidential data,4,1
Natural disaster destroys primary data center with no failover plan in place,5,1
"Embedded SQL queries in application code open to injection attacks, enabling data theft",3,4
Insufficient logging and monitoring enables intrusions to go undetected over lengthy period,4,3
